corp_id,corp_name,school_id,school_name,aina,asian,black,latine,multiracial,nhpi,white,frl,enrollment
15,Adams Central Community Schools,13,Adams Central Middle School,,,3,16,5,,295,78,319
15,Adams Central Community Schools,20,Adams Central Elementary School,1,2,1,35,20,,588,182,647
15,Adams Central Community Schools,21,Adams Central High School,,5,2,12,5,,350,89,374
25,North Adams Community Schools,29,Bellmont Senior High School,1,5,8,65,12,2,548,216,641
25,North Adams Community Schools,33,Bellmont Middle School,,3,8,33,8,1,260,180,313
25,North Adams Community Schools,37,Bellmont Elementary,1,5,14,86,37,,513,383,656
35,South Adams Schools,17,South Adams Middle School,,2,2,48,7,,229,161,288
35,South Adams Schools,23,South Adams High School,,5,2,51,9,,276,151,343
35,South Adams Schools,25,South Adams Elementary School,2,8,3,70,17,2,558,334,660
125,MSD Southwest Allen County Schls,45,Aboite Elementary School,2,21,18,37,27,,365,95,470
125,MSD Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,1,46,66,42,29,,375,184,559
125,MSD Southwest Allen County Schls,47,Homestead High School,5,125,162,191,113,5,1869,521,2470
125,MSD Southwest Allen County Schls,63,Summit Middle School,3,17,38,56,41,,711,194,866
125,MSD Southwest Allen County Schls,64,Lafayette Meadow School,3,10,19,30,40,,560,142,662
125,MSD Southwest Allen County Schls,67,Woodside Middle School,4,55,117,58,45,1,723,254,1003
125,MSD Southwest Allen County Schls,68,Haverhill Elementary School,,15,25,36,32,,326,107,434
125,MSD Southwest Allen County Schls,71,Deer Ridge Elementary,4,21,14,23,31,,344,59,437
125,MSD Southwest Allen County Schls,72,Covington Elementary School,,42,110,62,85,,575,258,874
125,MSD Southwest Allen County Schls,188,eSACS Virtual School,,1,6,3,7,2,59,17,78
225,Northwest Allen County Schools,69,Arcola School,,1,,12,16,,187,68,216
225,Northwest Allen County Schools,79,Maple Creek Middle School,,50,30,55,47,1,774,134,957
225,Northwest Allen County Schools,87,Hickory Center Elementary School,2,34,13,28,27,,358,113,462
225,Northwest Allen County Schools,89,Huntertown Elementary School,2,38,13,18,27,,408,182,506
225,Northwest Allen County Schools,90,Carroll Middle School,3,63,27,60,72,2,766,279,993
225,Northwest Allen County Schools,91,Carroll High School,1,117,81,141,137,3,2077,520,2557
225,Northwest Allen County Schools,92,Perry Hill Elementary School,,16,12,29,31,1,455,101,544
225,Northwest Allen County Schools,94,Oak View Elementary School,,35,17,28,19,,354,65,453
225,Northwest Allen County Schools,95,Cedar Canyon Elementary School,1,33,11,24,28,,434,53,531
225,Northwest Allen County Schools,96,Eel River Elementary School,,41,22,28,25,,296,118,412
225,Northwest Allen County Schools,98,Aspen Meadow Elementary School,2,41,29,35,36,,410,133,553
235,Fort Wayne Community Schools,100,Allen Co Juvenile Center,,4,7,4,1,,9,,25
235,Fort Wayne Community Schools,101,North Side High School,,88,387,279,170,2,548,965,1474
235,Fort Wayne Community Schools,102,R Nelson Snider High School,6,99,431,299,187,3,874,955,1899
235,Fort Wayne Community Schools,105,South Side High School,2,103,426,503,126,1,262,1042,1423
235,Fort Wayne Community Schools,107,Blackhawk Middle School,1,40,177,100,80,,399,365,797
235,Fort Wayne Community Schools,118,Jeff H Towles Intermediate School,1,10,153,125,61,,211,326,561
235,Fort Wayne Community Schools,119,Jefferson Middle School,,22,110,83,83,1,383,392,682
235,Fort Wayne Community Schools,121,Kekionga Middle School,,36,155,164,62,1,120,430,538
235,Fort Wayne Community Schools,125,Lakeside Middle School,2,25,140,88,71,1,175,389,502
235,Fort Wayne Community Schools,126,Lane Middle School,1,64,226,167,82,,170,528,710
235,Fort Wayne Community Schools,127,Memorial Park Middle School,3,20,184,127,62,,196,361,592
235,Fort Wayne Community Schools,128,Miami Middle School,,80,175,90,46,,106,399,497
235,Fort Wayne Community Schools,129,Northwood Middle School,1,32,131,128,66,1,228,409,587
235,Fort Wayne Community Schools,133,Portage Middle School,2,5,132,124,48,,125,344,436
235,Fort Wayne Community Schools,134,Weisser Park Elementary School,2,7,204,108,34,1,235,336,591
235,Fort Wayne Community Schools,136,Fairfield Elementary School,,21,123,202,40,,74,403,460
235,Fort Wayne Community Schools,137,Merle J Abbett Elementary School,,34,190,212,41,,21,430,498
235,Fort Wayne Community Schools,141,Adams Elementary School,,9,70,114,33,1,43,243,270
235,Fort Wayne Community Schools,149,Bloomingdale Elementary School,1,6,62,74,45,,112,242,300
235,Fort Wayne Community Schools,151,Bunche Elementary School,,4,76,29,29,,90,149,228
235,Fort Wayne Community Schools,153,Brentwood Elementary School,,58,135,43,64,,116,334,416
