corp_id,corp_name,school_id,school_name,ilearn_rate
15,Adams Central Community Schools,13,Adams Central Middle School,64.00%
15,Adams Central Community Schools,20,Adams Central Elementary School,
25,North Adams Community Schools,33,Bellmont Middle School,28.40%
25,North Adams Community Schools,37,Bellmont Elementary ,
35,South Adams Schools,17,South Adams Middle School,35.10%
35,South Adams Schools,25,South Adams Elementary School,
125,MSD Southwest Allen County Schls,45,Aboite Elementary School,
125,MSD Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,
125,MSD Southwest Allen County Schls,63,Summit Middle School,45.40%
125,MSD Southwest Allen County Schls,64,Lafayette Meadow School,
125,MSD Southwest Allen County Schls,67,Woodside Middle School,40.90%
125,MSD Southwest Allen County Schls,68,Haverhill Elementary School,
125,MSD Southwest Allen County Schls,71,Deer Ridge Elementary,
125,MSD Southwest Allen County Schls,72,Covington Elementary School,
125,MSD Southwest Allen County Schls,188,eSACS Virtual School,
225,Northwest Allen County Schools,69,Arcola School,
225,Northwest Allen County Schools,79,Maple Creek Middle School,48.80%
225,Northwest Allen County Schools,87,Hickory Center Elementary School,
225,Northwest Allen County Schools,89,Huntertown Elementary School,
225,Northwest Allen County Schools,90,Carroll Middle School,31.90%
225,Northwest Allen County Schools,92,Perry Hill Elementary School,
225,Northwest Allen County Schools,94,Oak View Elementary School,
225,Northwest Allen County Schools,95,Cedar Canyon Elementary School,
225,Northwest Allen County Schools,96,Eel River Elementary School,
225,Northwest Allen County Schools,98,Aspen Meadow Elementary School,
235,Fort Wayne Community Schools,107,Blackhawk Middle School,42.10%
235,Fort Wayne Community Schools,118,Jeff H Towles Intermediate School,17.60%
235,Fort Wayne Community Schools,119,Jefferson Middle School,35.90%
235,Fort Wayne Community Schools,121,Kekionga Middle School,14.70%
235,Fort Wayne Community Schools,125,Lakeside Middle School,25.90%
235,Fort Wayne Community Schools,126,Lane Middle School,11.90%
235,Fort Wayne Community Schools,127,Memorial Park Middle School,38.00%
235,Fort Wayne Community Schools,128,Miami Middle School,11.40%
235,Fort Wayne Community Schools,129,Northwood Middle School,22.50%
235,Fort Wayne Community Schools,133,Portage Middle School,22.00%
235,Fort Wayne Community Schools,134,Weisser Park Elementary School,
235,Fort Wayne Community Schools,136,Fairfield Elementary School,
235,Fort Wayne Community Schools,137,Merle J Abbett Elementary School,
235,Fort Wayne Community Schools,141,Adams Elementary School,
235,Fort Wayne Community Schools,149,Bloomingdale Elementary School,
235,Fort Wayne Community Schools,153,Brentwood Elementary School,
235,Fort Wayne Community Schools,154,Fred H Croninger Elementary School,
235,Fort Wayne Community Schools,157,Forest Park Elementary School,
235,Fort Wayne Community Schools,161,Franke Park Elementary School,
235,Fort Wayne Community Schools,162,Glenwood Park Elementary School,
235,Fort Wayne Community Schools,164,J Wilbur Haley Elementary School,
235,Fort Wayne Community Schools,178,Harrison Hill Elementary School,
235,Fort Wayne Community Schools,186,Mabel K Holland Elementary School,
235,Fort Wayne Community Schools,189,Indian Village Elementary School,
235,Fort Wayne Community Schools,193,John S Irwin Elementary School,
235,Fort Wayne Community Schools,197,Lindley Elementary School,
235,Fort Wayne Community Schools,205,Maplewood Elementary School,
235,Fort Wayne Community Schools,209,Willard Shambaugh Elementary Sch,
235,Fort Wayne Community Schools,217,Northcrest Elementary School,
235,Fort Wayne Community Schools,221,Francis M Price Elementary School,
235,Fort Wayne Community Schools,233,Saint Joseph Central School,
235,Fort Wayne Community Schools,239,Robert C Harris Elementary School,
235,Fort Wayne Community Schools,240,Shawnee Middle School,14.30%
235,Fort Wayne Community Schools,248,Fort Wayne Virtual Academy,5.60%
235,Fort Wayne Community Schools,249,Levan R Scott Academy,
235,Fort Wayne Community Schools,253,South Wayne Elementary School,
235,Fort Wayne Community Schools,257,Study Elementary School,
235,Fort Wayne Community Schools,265,Washington Elementary School,
235,Fort Wayne Community Schools,269,Washington Center Elementary Sch,
235,Fort Wayne Community Schools,270,Lincoln Elementary School,
235,Fort Wayne Community Schools,273,Waynedale Elementary School,
235,Fort Wayne Community Schools,275,Arlington Elementary School,
255,East Allen County Schools,43,Prince Chapman Academy,11.80%
255,East Allen County Schools,49,Leo Junior/Senior High School,
255,East Allen County Schools,53,Leo Elementary School,66.10%
255,East Allen County Schools,81,Heritage Jr/Sr High School,
255,East Allen County Schools,281,Heritage Elementary School,32.80%
255,East Allen County Schools,285,Woodlan Jr/Sr High School,
255,East Allen County Schools,291,Cedarville Elementary School,
255,East Allen County Schools,294,Paul Harding Jr High School,
255,East Allen County Schools,297,New Haven Jr/Sr High School,
255,East Allen County Schools,305,New Haven Intermediate School,22.70%
255,East Allen County Schools,323,Woodlan Elementary School,38.40%
365,Bartholomew Con School Corp,328,Clifty Creek Elementary School,12.70%
365,Bartholomew Con School Corp,346,CSA Lincoln Campus,75.00%
365,Bartholomew Con School Corp,353,Mount Healthy Elementary School,14.30%
365,Bartholomew Con School Corp,357,Parkside Elementary School,51.80%
365,Bartholomew Con School Corp,363,W D Richards Elementary School,49.40%
365,Bartholomew Con School Corp,366,Rockcreek Elementary School,59.60%
365,Bartholomew Con School Corp,369,Lillian Schmitt Elementary School,28.10%
365,Bartholomew Con School Corp,371,L F Smith Elementary,22.10%
365,Bartholomew Con School Corp,375,CSA Fodrea Campus,32.60%
365,Bartholomew Con School Corp,377,Taylorsville Elementary School,26.80%
365,Bartholomew Con School Corp,390,Central Middle School,
365,Bartholomew Con School Corp,392,Southside Elementary School,64.90%
365,Bartholomew Con School Corp,395,Northside Middle School,
370,Flat Rock-Hawcreek School Corp,409,Hope Elementary School,42.00%
370,Flat Rock-Hawcreek School Corp,410,Hauser Jr-Sr High School,
395,Benton Community School Corp,421,Otterbein Elementary School,37.20%
395,Benton Community School Corp,445,Benton Central Jr-Sr High School,
395,Benton Community School Corp,446,Prairie Crossing Elementary School,33.30%
515,Blackford County Schools,489,Blackford Jr-Sr High School,
515,Blackford County Schools,494,Blackford Intermediate School,31.90%
615,Western Boone Co Com Sch Dist,521,Granville Wells Elementary School,57.90%
615,Western Boone Co Com Sch Dist,537,Thorntown Elementary School,65.30%
615,Western Boone Co Com Sch Dist,539,Western Boone Jr-Sr High School,
630,Zionsville Community Schools,510,Zionsville West Middle School,57.60%
630,Zionsville Community Schools,511,Zionsville Middle School,58.60%
630,Zionsville Community Schools,514,Eagle Elementary School,
630,Zionsville Community Schools,517,Zionsville Pleasant View Elem Sch,
630,Zionsville Community Schools,541,Union Elementary School,
630,Zionsville Community Schools,542,Stonegate Elementary,
630,Zionsville Community Schools,544,Boone Meadow,
630,Zionsville Community Schools,546,Trailside Elementary School,
665,Lebanon Community School Corp,534,Perry Worth Elementary School,
665,Lebanon Community School Corp,557,Lebanon Middle School,45.00%
665,Lebanon Community School Corp,561,Central Elementary School,
665,Lebanon Community School Corp,565,Harney Elementary School,
665,Lebanon Community School Corp,569,Hattie B Stokes Elementary School,
670,Brown County School Corporation,577,Van Buren Elementary School,
670,Brown County School Corporation,581,Helmsburg Elementary School,
670,Brown County School Corporation,585,Sprunica Elementary School,
670,Brown County School Corporation,587,Brown County Middle School,36.40%
750,Carroll Consolidated School Corp,623,Carroll Junior High School,
750,Carroll Consolidated School Corp,629,Carroll Elementary School,45.50%
755,Delphi Community School Corp,609,Delphi Community Middle School,27.70%
755,Delphi Community School Corp,641,Delphi Community Elementary School,
775,Pioneer Regional School Corp,645,Pioneer Jr-Sr High School,***
775,Pioneer Regional School Corp,649,Pioneer Elementary School,25.40%
815,Lewis Cass Schools ,691,Lewis Cass Junior High School ,35.60%
815,Lewis Cass Schools ,695,Lewis Cass Elementary School,
875,Logansport Community Sch Corp,701,Logansport Community High School,
875,Logansport Community Sch Corp,702,Logansport Junior High School ,
875,Logansport Community Sch Corp,705,Franklin Elementary School,
875,Logansport Community Sch Corp,709,Fairview Elementary School,
875,Logansport Community Sch Corp,711,Landis Elementary School,
875,Logansport Community Sch Corp,713,Columbia Elementary School,
875,Logansport Community Sch Corp,715,Logansport Intermediate School,15.30%
875,Logansport Community Sch Corp,719,The Academy at Logansport Community School,***
935,Borden-Henryville School Corporation,765,Henryville Jr & Sr High School,
935,Borden-Henryville School Corporation,767,Henryville Elementary School,44.90%
935,Borden-Henryville School Corporation,813,William W Borden High School,
935,Borden-Henryville School Corporation,815,William W Borden Elementary School,68.80%
945,Silver Creek School Corporation,781,Silver Creek Middle School,36.30%
945,Silver Creek School Corporation,789,Silver Creek Elementary School,
1000,Clarksville Community School Corp,845,Clarksville Elementary School,
1000,Clarksville Community School Corp,851,Clarksville Middle School,26.80%
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,3.90%
1010,Greater Clark County Schools,755,W E Wilson Elementary,
1010,Greater Clark County Schools,761,Thomas Jefferson Elementary School,
1010,Greater Clark County Schools,801,Northaven Elementary School,
1010,Greater Clark County Schools,805,Utica Elementary School,
1010,Greater Clark County Schools,807,New Washington Elementary School,
1010,Greater Clark County Schools,809,New Washington Middle/High School,42.50%
1010,Greater Clark County Schools,825,Jonathan Jennings Elementary Sch,
1010,Greater Clark County Schools,853,Parkview Middle School,26.90%
1010,Greater Clark County Schools,863,Charlestown Middle School,40.30%
1010,Greater Clark County Schools,871,Riverside Elementary School,
1010,Greater Clark County Schools,874,Franklin Square Elementary School,
1010,Greater Clark County Schools,879,Parkwood Elementary School,
1010,Greater Clark County Schools,883,River Valley Middle School,31.10%
